2022-06-08 17:48:27.744  INFO 90342 --- [main] CONTROLLER_LOGGER                        : URI: /patHistory/add | Request: POST | Response: /patHistory/add
2022-06-08 18:31:17.809  INFO 90579 --- [http-nio-8082-exec-2] CONTROLLER_LOGGER                        : URI: /history/add | Request: POST | Response: /history/add
2022-06-08 18:31:17.815  INFO 90579 --- [http-nio-8082-exec-2] CONTROLLER_LOGGER                        : URI: /error | Request: POST | Response: /error
2022-06-08 18:31:26.560  INFO 90579 --- [http-nio-8082-exec-3] CONTROLLER_LOGGER                        : URI: /patHistory/add | Request: POST | Response: /patHistory/add
2022-06-08 18:31:26.656  INFO 90579 --- [http-nio-8082-exec-3] CONTROLLER_LOGGER                        : URI: /error | Request: POST | Response: /error
2022-06-08 18:38:21.992  INFO 90634 --- [http-nio-8082-exec-1] CONTROLLER_LOGGER                        : URI: /patHistory/add | Request: POST | Response: /patHistory/add
2022-06-08 18:39:41.310  INFO 90648 --- [http-nio-8082-exec-1] CONTROLLER_LOGGER                        : URI: /patHistory/add | Request: POST | Response: /patHistory/add
2022-06-08 18:47:31.394  INFO 90790 --- [http-nio-8082-exec-2] CONTROLLER_LOGGER                        : URI: /patHistory/add | Request: POST | Response: /patHistory/add
2022-06-08 18:48:36.618  INFO 90803 --- [http-nio-8082-exec-2] CONTROLLER_LOGGER                        : URI: /patHistory/add | Request: POST | Response: /patHistory/add
2022-06-08 18:48:57.767  INFO 90809 --- [http-nio-8082-exec-1] CONTROLLER_LOGGER                        : URI: /patHistory/add | Request: POST | Response: /patHistory/add
2022-06-08 18:48:59.279  INFO 90809 --- [http-nio-8082-exec-3] CONTROLLER_LOGGER                        : URI: /patHistory/add | Request: POST | Response: /patHistory/add
2022-06-08 18:49:00.682  INFO 90809 --- [http-nio-8082-exec-4] CONTROLLER_LOGGER                        : URI: /patHistory/add | Request: POST | Response: /patHistory/add
2022-06-08 18:49:01.924  INFO 90809 --- [http-nio-8082-exec-5] CONTROLLER_LOGGER                        : URI: /patHistory/add | Request: POST | Response: /patHistory/add
